DATE,IANQGSP
2005-01-01,122230.8
2005-04-01,122820.8
2005-07-01,124314.5
2005-10-01,123397.6
2006-01-01,125734.9
2006-04-01,127496.8
2006-07-01,127892.4
2006-10-01,130461.2
2007-01-01,134118.7
2007-04-01,137964.6
2007-07-01,139262.7
2007-10-01,140374.7
2008-01-01,139079.1
2008-04-01,138538.2
2008-07-01,137489.0
2008-10-01,135087.5
2009-01-01,134576.2
2009-04-01,135355.2
2009-07-01,137363.5
2009-10-01,140283.5
2010-01-01,139434.5
2010-04-01,141860.3
2010-07-01,142959.7
2010-10-01,144681.2
2011-01-01,144777.1
2011-04-01,146636.5
2011-07-01,149260.5
2011-10-01,153236.4
2012-01-01,156232.6
2012-04-01,159467.6
2012-07-01,160066.6
2012-10-01,158386.7
2013-01-01,161442.5
2013-04-01,160363.1
2013-07-01,162577.6
2013-10-01,164417.9
2014-01-01,166554.4
2014-04-01,173197.5
2014-07-01,175933.8
2014-10-01,176697.9
2015-01-01,178465.5
2015-04-01,179884.6
2015-07-01,181466.0
2015-10-01,181381.0
2016-01-01,180317.9
2016-04-01,179815.2
2016-07-01,181913.0
2016-10-01,181999.4
2017-01-01,183212.8
2017-04-01,183084.7
2017-07-01,182532.5
2017-10-01,185369.0
2018-01-01,187805.0
2018-04-01,190612.8
2018-07-01,190932.2
2018-10-01,192262.3
2019-01-01,189896.3
2019-04-01,192396.1
2019-07-01,196365.1
2019-10-01,198632.9
2020-01-01,196419.1
2020-04-01,181989.0
2020-07-01,196938.3
2020-10-01,201724.1
2021-01-01,210044.9
2021-04-01,219940.7
2021-07-01,223685.5
2021-10-01,225695.7
2022-01-01,231651.3
